日期,标题,链接,公司名称,股票代码
2026-06-15,ＧＸ中國政銀債券 (03041) 交易所買賣基金的交易資料,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0615/2026061500258_c.xlsx,ＧＸ中國政銀債券,03041
2026-06-12,ＧＸ中國政銀債券 (03041) 交易所買賣基金的交易資料,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0612/2026061200256_c.xlsx,ＧＸ中國政銀債券,03041
2026-06-12,渣打集團 (02888) 翌日披露報表 - [股份購回],https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0612/2026061200605_c.pdf,渣打集團,02888
2026-06-12,富陽 (00352) 公告及通告 - [內幕消息 / 其他-業務發展最新情況 / 停牌],https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0612/2026061201229_c.pdf,富陽,00352
2026-06-12,極兔速遞－Ｗ (01519) 翌日披露報表 - [股份購回],https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0612/2026061201289_c.pdf,極兔速遞－Ｗ,01519
2026-06-12,豐銀禾控股 (08030) 公告及通告 - [股東周年大會的結果],https://www1.hkexnews.hk/listedco/listconews/gem/2026/0612/2026061201223_c.pdf,豐銀禾控股,08030
2026-06-12,建業地產 (00832) 公告及通告 - [內幕消息],https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0612/2026061201231_c.pdf,建業地產,00832
2026-06-12,華油能源 (01251) 公告及通告 - [股東周年大會的結果],https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0612/2026061201239_c.pdf,華油能源,01251
2026-06-12,天福 (06868) 翌日披露報表 - [股份購回],https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0612/2026061201219_c.pdf,天福,06868
2026-06-12,重慶農村商業銀行 (03618) 公告及通告 - [海外監管公告-企業管治相關事宜],https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0612/2026061201232_c.pdf,重慶農村商業銀行,03618
2026-06-12,維昇藥業－Ｂ (02561) 翌日披露報表 - [股份購回],https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0612/2026061201237_c.pdf,維昇藥業－Ｂ,02561
2026-06-12,公告及通告 - [內幕消息] 公告2026年5月未經審核合同銷售數據,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0612/2026061201231_c.pdf,建業地產,00832
2026-06-10,公告及通告 - [股東周年大會的結果] 2026年6月10日舉行的股東週年大會的投票結果,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0610/2026061001355_c.pdf,建業地產,00832
2026-06-05,通函 - [在股東批准的情況下重選或委任董事] (1) 重選董事； (2) 續聘核數師；及 (3) 股東周年大會通告,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0605/2026060500268_c.pdf,恒大物业,06666
2026-06-05,公告及通告 - [股東周年大會通告 / 暫停辦理過戶登記手續或更改暫停辦理過戶日期] 股東周年大會通告,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0605/2026060500272_c.pdf,恒大物业,06666
2026-06-05,委任代表表格 謹訂於2026年6月30日（星期二）舉行之股東周年大會及其任何續會適用之代表委任表格,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0605/2026060500276_c.pdf,恒大物业,06666
2026-06-04,月報表 截至二零二六年五月三十一日止月份之股份發行人的證券變動月報表,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0604/2026060400878_c.pdf,恒大物业,06666
2026-06-02,月報表 截至二零二六年五月三十一日止月份之股份發行人的證券變動月報表,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0602/2026060200884_c.pdf,建業地產,00832
2026-05-19,公告及通告 - [《收購守則》所指的受要約公司刊發的公告] 根據收購守則第3.7條作出的每月進展更新公告,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0519/2026051901140_c.pdf,恒大物业,06666
2026-05-13,公告及通告 - [內幕消息] 公告2026年4月未經審核合同銷售數據,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0513/2026051300858_c.pdf,建業地產,00832
2026-05-07,月報表 截至二零二六年四月三十日止月份之股份發行人的證券變動月報表,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0507/2026050700682_c.pdf,恒大物业,06666
2026-05-04,月報表 截至二零二六年四月三十日止月份之股份發行人的證券變動月報表,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0504/2026050402396_c.pdf,建業地產,00832
2026-04-30,通函 - [其他] 致非登記股東之通知信函及回條,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0430/2026043002327_c.pdf,建業地產,00832
2026-04-30,通函 - [其他] 致登記股東之通知信函及回條,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0430/2026043002301_c.pdf,建業地產,00832
2026-04-23,財務報表/環境、社會及管治資料 - [年報] 2025年度報告,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0423/2026042302458_c.pdf,恒大物业,06666
2026-04-23,財務報表/環境、社會及管治資料 - [環境、社會及管治資料/報告] 2025年度環境、社會及管治報告,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0423/2026042302463_c.pdf,恒大物业,06666
